Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
Altus Power Inc. Class A,AMPS,,Utilities,Electric Utilities: Central,0.3,0.15,4.83,2.6,2.6,3,2.1,0.01,0.12,-9583000,0.942857143,0.920634921,0.971428571,0.952,0.514285714,0.8,-1.1,Outperformer
Antero Midstream Corporation,AM,United States,Utilities,Natural Gas Distribution,0.7,0.37,-0.01,1.44,0.68,4,1.51,-0.03,0.15,171418000,0.727272727,0.841269841,0.238095238,0.392,0.666666667,0.5,0.5,Regular growth
Allete Inc.,ALE,United States,Utilities,Power Generation,3.4,3.32,0.05,-0.02,-0.04,4,0.53,1.56,0.06,124800000,0.347826087,0.337301587,0.47826087,0.42,0.782608696,0.130434783,3.8,Regular growth
Akoustis Technologies Inc.,AKTS,United States,Utilities,Telecommunications Equipment,-1,-1.04,0.08,0.02,0.05,4,0.65,0.31,-0.74,-17317000,0.506666667,0.369047619,0.587837838,0.508,0.333333333,0.593333333,-0.4,Regular growth
Avangrid Inc.,AGR,United States,Utilities,Electric Utilities: Central,2.3,2.04,0.15,0.01,0.05,4,0.55,-2.24,0.04,-416000000,0.485714286,0.357142857,0.714285714,0.576,0.285714286,0.142857143,1.7,Regular growth
The AES Corporation,AES,United States,Utilities,Electric Utilities: Central,-0.8,-0.45,-0.34,-3.63,-0.84,4,5.21,-1.83,-0.12,-777000000,0.057142857,0.047619048,0.171428571,0.184,0.342857143,1,-0.1,Underperformer
American Electric Power Company Inc.,AEP,United States,Utilities,Electric Utilities: Central,4.5,4.62,-0.09,0.06,0.12,4,1.69,-8.62,0.1,89700000,0.585714286,0.432539683,0.457142857,0.328,0.085714286,0.628571429,1.8,Regular growth
Ameren Corporation,AEE,United States,Utilities,Power Generation,4.1,3.83,0.08,0.07,0.08,4,1.43,-7.35,0.1,158000000,0.586956522,0.472222222,0.630434783,0.508,0.086956522,0.565217391,2.1,Regular growth
ADTRAN Holdings Inc.,ADTN,United States,Utilities,Telecommunications Equipment,0,-0.05,0.83,-0.91,0.83,4,0.21,6.31,0,-6710000,0.16,0.111111111,0.864864865,0.864,0.8,0.413333333,1.6,Underperformer
Advent Technologies Holdings Inc. Class A,ADN,United States,Utilities,Power Generation,-1.4,-0.68,-2.2,-2.09,-2.07,4,0.34,0.18,-1.16,-8358000,0.043478261,0.079365079,0.043478261,0.04,0.739130435,0.086956522,-0.5,Underperformer
WideOpenWest Inc.,WOW,United States,Telecommunications,Cable & Other Pay Television Services,0,3.15,-1,16.37,-0.6,4,3.04,-0.53,0,-15300000,1,0.985294118,0.176470588,0.279411765,0.352941176,0.823529412,0.7,Outperformer
Wearable Devices Ltd. Ordinary Share,WLDS,Israel,Telecommunications,Computer Communications Equipment,-0.5,-0.26,-2.04,-1.14,-1.08,4,0.06,0.45,-0.65,,0.285714286,0.191176471,0.142857143,0.102941176,0.285714286,0.571428571,-0.3,Underperformer
Warner Bros. Discovery Inc. Series A ,WBD,United States,Telecommunications,Cable & Other Pay Television Services,-3.8,-0.16,-3.48,-1.33,-0.37,4,0.97,-0.66,-0.15,2059000000,0.117647059,0.132352941,0.058823529,0.073529412,0.294117647,0.529411765,-0.4,Underperformer
Verizon Communications Inc.,VZ,United States,Telecommunications,Telecommunications Equipment,5.1,4.89,-0.05,0.04,-0.05,4,1.74,-4.09,0.23,5910000000,0.533333333,0.485294118,0.554054054,0.551470588,0.026666667,0.8,1.7,Regular growth
Vislink Technologies Inc.,VISL,United States,Telecommunications,Telecommunications Equipment,-5.8,-12.4,0.24,0.61,0.68,4,0.04,14,-0.31,-2879000,0.78,0.683823529,0.635135135,0.617647059,0.893333333,0.193333333,-28.6,Regular growth
VEON Ltd. ADS,VEON,Netherlands,Telecommunications,Telecommunications Equipment,-2.2,0.75,-1.24,0.03,-1.24,4,5.73,-0.01,-0.41,,0.52,0.470588235,0.189189189,0.176470588,0.186666667,0.946666667,0.2,Regular growth
UTStarcom Holdings Corp. Ordinary Shares,UTSI,China,Telecommunications,Telecommunications Equipment,-0.6,-1.28,0.15,-1.37,0.15,4,0.05,5.23,-0.09,,0.106666667,0.088235294,0.608108108,0.588235294,0.773333333,0.226666667,-0.3,Underperformer
United States Cellular Corporation,USM,United States,Telecommunications,Telecommunications Equipment,0.3,1.58,-0.8,-0.1,-0.32,4,0.84,4.11,0.01,210000000,0.446666667,0.404411765,0.337837838,0.360294118,0.746666667,0.64,2.4,Regular growth
TechTarget Inc.,TTGT,United States,Telecommunications,Telecommunications Equipment,1.3,0.65,42.33,13.8,0.02,4,2.06,5.45,0.19,22211000,0.986666667,0.970588235,1,1,0.786666667,0.826666667,4.2,Outperformer
T-Mobile US Inc.,TMUS,United States,Telecommunications,Telecommunications Equipment,2.1,2.37,-0.15,-0.19,-0.15,4,1.7,-2.41,0.04,2751000000,0.386666667,0.352941176,0.513513514,0.529411765,0.04,0.773333333,0.9,Regular growth
Millicom International Cellular S.A.,TIGO,Luxembourg,Telecommunications,Telecommunications Equipment,1.3,1.05,-0.72,-0.44,-0.72,4,2.15,-1.63,0.05,128000000,0.253333333,0.227941176,0.358108108,0.389705882,0.093333333,0.846666667,0.4,Regular growth
Telephone and Data Systems Inc. Common Shares,TDS,United States,Telecommunications,Telecommunications Equipment,-0.1,0.95,-1.07,-0.23,-0.48,4,0.75,2.65,0.01,116000000,0.373333333,0.338235294,0.25,0.242647059,0.653333333,0.626666667,1.3,Regular growth
AT&T Inc.,T,United States,Telecommunications,Telecommunications Equipment,-1.1,0.28,-1.41,0.61,-1.4,4,1.3,-2.11,-0.08,5689000000,0.78,0.683823529,0.162162162,0.161764706,0.053333333,0.746666667,0.3,Regular growth
Siyata Mobile Inc. Common Shares,SYTA,Canada,Telecommunications,Telecommunications Equipment,-73,-491.67,0.85,0.45,0.47,4,0.1,2.02,-1.66,-3932917,0.693333333,0.617647059,0.878378378,0.852941176,0.6,0.313333333,-972.7,Regular growth
Senstar Technologies Ltd. Ordinary Shares,SNT,Israel,Telecommunications,Telecommunications Equipment,0.2,0.15,-0.43,8.57,-0.43,4,0.02,0.99,0.1,,0.973333333,0.941176471,0.445945946,0.470588235,0.44,0.16,2.6,Outperformer
Sidus Space Inc. Class A,SIDU,United States,Telecommunications,Telecommunications Equipment,-0.8,-0.4,-1.21,-1.19,-1.21,4,0.32,0.01,-3.31,-6037799,0.133333333,0.176470588,0.209459459,0.198529412,0.2,0.48,-0.4,Underperformer
Shenandoah Telecommunications Co,SHEN,United States,Telecommunications,Telecommunications Equipment,-0.2,7.42,-1.01,2.4,1.26,4,0.31,-0.2,-0.01,-32307000,0.933333333,0.852941176,0.297297297,0.264705882,0.146666667,0.466666667,6.7,Outperformer
Roku Inc. Class A,ROKU,United States,Telecommunications,Cable & Other Pay Television Services,-3.6,-0.68,-3.12,3.61,0.73,4,0.26,12.37,-0.19,239105000,0.882352941,0.911764706,0.117647059,0.088235294,0.941176471,0.176470588,-6.3,Outperformer
Rekor Systems Inc.,REKR,United States,Telecommunications,Telecommunications Equipment,-1.7,-0.99,-1.53,-0.44,-0.03,4,0.63,0.05,-1.68,-7920000,0.253333333,0.227941176,0.148648649,0.147058824,0.28,0.56,-0.3,Regular growth
PowerFleet Inc.,PWFL,United States,Telecommunications,Telecommunications Equipment,-0.3,-0.44,0.35,0.15,0.22,4,0.2,0.93,-0.05,-3140000,0.56,0.544117647,0.702702703,0.661764706,0.426666667,0.386666667,0.9,Regular growth
NextPlat Corp,NXPL,United States,Telecommunications,Telecommunications Equipment,-0.9,-2.11,0.52,0.63,0.52,4,0.06,1.55,-0.36,-1302599,0.8,0.705882353,0.743243243,0.705882353,0.506666667,0.266666667,-2.4,Regular growth
NAPCO Security Technologies Inc.,NSSC,United States,Telecommunications,Telecommunications Equipment,0.7,0.56,0.38,0.48,0.38,4,0.04,2.92,0.19,10953000,0.706666667,0.632352941,0.716216216,0.676470588,0.666666667,0.193333333,4,Regular growth
Moving iMage Technologies Inc.,MITQ,United States,Telecommunications,Telecommunications Equipment,-0.2,-0.12,-0.23,-0.24,-0.23,4,0.05,0.68,-0.24,-208000,0.36,0.323529412,0.5,0.5,0.373333333,0.226666667,0.9,Regular growth
Matthews International Corporation Class A,MATW,United States,Telecommunications,Metal Fabrications,1.3,-0.61,1.4,-11.3,1.03,4,1.5,6.98,0.07,-10873000,0.04,0.029411765,0.8,0.926470588,0.52,0.93877551,-0.4,Underperformer
Lumen Technologies Inc.,LUMN,United States,Telecommunications,Telecommunications Equipment,-1.5,-0.26,-1.81,0.55,0.77,4,9.1,0.72,-0.15,38000000,0.746666667,0.661764706,0.108108108,0.117647059,0.4,0.986666667,0.2,Regular growth
Lantronix Inc.,LTRX,United States,Telecommunications,Telecommunications Equipment,-0.2,-0.18,-0.56,-0.01,-0.14,4,0.39,1.35,-0.12,7012000,0.493333333,0.455882353,0.405405405,0.426470588,0.466666667,0.493333333,0.8,Regular growth
Lumentum Holdings Inc.,LITE,United States,Telecommunications,Telecommunications Equipment,-1.9,1.94,-1.72,-0.1,-0.47,4,2.19,31.31,-0.1,-63100000,0.446666667,0.404411765,0.121621622,0.132352941,0.973333333,0.866666667,1.6,Regular growth
Liberty Latin America Ltd. Class C,LILAK,United States,Telecommunications,Cable & Other Pay Television Services,-0.8,-2.05,0.58,-1.33,0.46,4,3.29,0.17,-0.07,68700000,0.117647059,0.132352941,0.794117647,0.75,0.5,0.911764706,-2.2,Underperformer
Liberty Latin America Ltd. Class A,LILA,United States,Telecommunications,Cable & Other Pay Television Services,-0.8,-2.05,0.58,-1.33,0.46,4,3.29,0.17,-0.07,68700000,0.117647059,0.132352941,0.794117647,0.75,0.5,0.911764706,-2.2,Underperformer
Liberty Global plc Class C Ordinary Shares,LBTYK,United Kingdom,Telecommunications,Cable & Other Pay Television Services,3,7.95,-0.87,2.57,-0.87,4,0.8,4.21,0.07,-700000,0.764705882,0.882352941,0.352941176,0.323529412,0.764705882,0.411764706,10.1,Outperformer
Liberty Global plc Class B Ordinary Shares,LBTYB,United Kingdom,Telecommunications,Cable & Other Pay Television Services,3,7.95,-0.87,2.57,-0.87,4,0.8,4.21,0.07,-700000,0.764705882,0.882352941,0.352941176,0.323529412,0.764705882,0.411764706,10.1,Outperformer
Liberty Global plc Class A Ordinary Shares,LBTYA,United Kingdom,Telecommunications,Cable & Other Pay Television Services,3,7.95,-0.87,2.57,-0.87,4,0.8,4.21,0.07,-700000,0.764705882,0.882352941,0.352941176,0.323529412,0.764705882,0.411764706,10.1,Outperformer
Liberty Broadband Corporation Class C,LBRDK,United States,Telecommunications,Cable & Other Pay Television Services,8,4.69,1.03,1.41,1.03,4,0.44,1.37,0.15,-45000000,0.617647059,0.801470588,0.911764706,0.904411765,0.617647059,0.264705882,9.5,Regular growth
Liberty Broadband Corporation Class A,LBRDA,United States,Telecommunications,Cable & Other Pay Television Services,8,4.69,1.03,1.41,1.03,4,0.44,1.37,0.15,-45000000,0.617647059,0.801470588,0.911764706,0.904411765,0.617647059,0.264705882,9.5,Regular growth
Knightscope Inc. Class A,KSCP,United States,Telecommunications,Telecommunications Equipment,-0.7,-1.94,0.77,-0.36,-0.6,4,0.2,0.04,3.29,-6940000,0.306666667,0.257352941,0.851351351,0.838235294,0.26,0.386666667,1.1,Regular growth
Juniper Networks Inc.,JNPR,United States,Telecommunications,Computer Communications Equipment,1.4,0.99,0.88,0.22,-0.01,4,0.39,5.13,0.11,288400000,0.571428571,0.588235294,0.857142857,0.882352941,0.857142857,1,0.7,Regular growth
Iteris Inc.,ITI,United States,Telecommunications,Telecommunications Equipment,-0.3,-0.09,-1.19,-0.05,-1.19,4,0.1,0.71,-0.24,5000,0.466666667,0.426470588,0.22972973,0.220588235,0.386666667,0.313333333,0.6,Regular growth
Iridium Communications Inc,IRDM,United States,Telecommunications,Telecommunications Equipment,0.1,-0.14,1.98,1.16,0.83,4,1.6,1.08,0.01,59118000,0.853333333,0.764705882,0.945945946,0.970588235,0.453333333,0.76,1.3,Outperformer
Intrusion Inc.,INTZ,United States,Telecommunications,Computer Communications Equipment,-0.8,-0.77,0.22,-1.24,-1.33,4,-1.06,-0.62,3.85,-1828000,0.142857143,0.161764706,0.571428571,0.602941176,0.142857143,0.142857143,0.4,Underperformer
Inseego Corp.,INSG,United States,Telecommunications,Telecommunications Equipment,-0.7,-0.79,-0.29,-0.34,-0.29,4,-1.76,0.03,0.97,7807000,0.333333333,0.286764706,0.486486486,0.485294118,0.24,0.013333333,0.8,Regular growth
IHS Holding Limited Ordinary Shares,IHS,,Telecommunications,Telecommunications Equipment,-1.4,-0.82,-14.44,-4.43,0.24,4,8.53,-0.28,-0.34,78098000,0.053333333,0.058823529,0.013513514,0.014705882,0.133333333,0.973333333,0,Underperformer
IDT Corporation Class B,IDT,United States,Telecommunications,Telecommunications Equipment,,1.85,-0.72,1.42,1.42,4,0.01,3.16,0.19,19516000,0.866666667,0.823529412,0.358108108,0.389705882,0.706666667,0.106666667,,Outperformer
InterDigital Inc.,IDCC,United States,Telecommunications,Telecommunications Equipment,3.1,2.09,0.73,0.71,0.73,4,1.07,31.27,0.13,300968000,0.813333333,0.735294118,0.824324324,0.808823529,0.96,0.72,7.8,Regular growth
Turtle Beach Corporation,HEAR,United States,Telecommunications,Telecommunications Equipment,-3.6,-0.09,-4.73,-1.35,-0.59,4,0.18,3.26,-0.67,-16938000,0.12,0.102941176,0.040540541,0.044117647,0.72,0.36,0,Underperformer
Extreme Networks Inc.,EXTR,United States,Telecommunications,Telecommunications Equipment,0.6,0.31,0.76,5.76,1.02,4,2.27,0.02,0.67,71321000,0.96,0.926470588,0.837837838,0.823529412,0.22,0.88,1.2,Outperformer
ESCO Technologies Inc.,ESE,United States,Telecommunications,Telecommunications Equipment,,3.13,0.31,-0.02,-0.02,4,0.12,10.33,0.08,39170000,0.48,0.441176471,0.675675676,0.647058824,0.866666667,0.333333333,,Regular growth
DISH Network Corporation Class A,DISH,United States,Telecommunications,Cable & Other Pay Television Services,3.6,3.47,-0.05,0.12,0.16,4,1.29,-4.94,0.13,-548251000,0.352941176,0.514705882,0.647058824,0.551470588,0.176470588,0.647058824,1.2,Regular growth
Crexendo Inc.,CXDO,United States,Telecommunications,Telecommunications Equipment,-1.5,-0.4,-11.83,-2.51,-1.26,4,0.06,0.21,-0.85,1560000,0.08,0.073529412,0.027027027,0.029411765,0.306666667,0.266666667,0,Underperformer
Cisco Systems Inc. (DE),CSCO,United States,Telecommunications,Computer Communications Equipment,3.1,2.8,0.09,0.06,0.09,4,0.17,3.12,0.28,2237000000,0.428571429,0.5,0.428571429,0.573529412,0.714285714,0.857142857,2.5,Regular growth
Consolidated Communications Holdings Inc.,CNSL,United States,Telecommunications,Telecommunications Equipment,0.9,0.03,1.69,0.21,1.69,4,2.54,0.04,0.13,-108063000,0.6,0.573529412,0.932432432,0.941176471,0.26,0.893333333,0.8,Regular growth
Comcast Corporation Class A,CMCSA,United States,Telecommunications,Cable & Other Pay Television Services,1.2,2.18,-0.6,-0.15,-0.19,4,1.17,-2.09,0.07,4030000000,0.294117647,0.375,0.529411765,0.411764706,0.235294118,0.588235294,0.2,Regular growth
Charter Communications Inc. Class A New,CHTR,United States,Telecommunications,Cable & Other Pay Television Services,30.7,23.54,0.26,0.64,0.59,4,6.65,-55.5,0.4,1097000000,0.470588235,0.720588235,0.705882353,0.632352941,0.058823529,1,2.1,Regular growth
Churchill Capital Corp V Class A,CCV,,Telecommunications,Cable & Other Pay Television Services,0.4,0.21,12,12,12,3,0.02,-0.17,0.05,-2289785,0.941176471,0.955882353,1,0.985294118,0.411764706,0.117647059,-4.2,Outperformer
Cable One Inc.,CABO,United States,Telecommunications,Cable & Other Pay Television Services,38.1,45.27,-0.18,0.13,-0.09,4,2.05,28.52,0.13,110946000,0.411764706,0.529411765,0.588235294,0.514705882,1,0.705882353,66.7,Regular growth
Broadwind Inc.,BWEN,United States,Telecommunications,Metal Fabrications,-0.5,-0.14,-4.2,-0.28,0.68,4,0.9,0.71,-0.21,-6484000,0.34,0.308823529,0.06,0.058823529,0.16,0.775510204,-0.1,Regular growth
Boxlight Corporation Class A,BOXL,United States,Telecommunications,Telecommunications Equipment,-0.6,-1.62,0.7,0.54,0.65,4,0.9,6.4,-0.05,8106000,0.733333333,0.647058824,0.810810811,0.794117647,0.813333333,0.68,-0.9,Regular growth
B.O.S. Better Online Solutions,BOSC,Israel,Telecommunications,Computer Communications Equipment,0.2,0.03,1.88,1.09,1.36,4,0.16,1.78,0.08,,0.857142857,0.75,1,0.955882353,0.571428571,0.714285714,-1,Regular growth
Aviat Networks Inc.,AVNW,United States,Telecommunications,Telecommunications Equipment,1,4.06,-0.46,156.24,-0.46,4,0.01,9.83,0.05,7081000,1,1,0.418918919,0.455882353,0.853333333,0.106666667,13.6,Outperformer
Altice USA Inc. Class A,ATUS,United States,Telecommunications,Cable & Other Pay Television Services,0.4,1.11,-0.8,1.21,1.85,4,-62.98,-4.99,-0.39,121279000,0.529411765,0.779411765,0.470588235,0.360294118,0.117647059,0.058823529,-1.2,Regular growth
ATN International Inc.,ATNI,United States,Telecommunications,Telecommunications Equipment,-0.7,-1.03,0.56,-0.15,-0.31,4,0.86,0.3,-0.01,-8034000,0.42,0.375,0.756756757,0.720588235,0.32,0.653333333,0,Regular growth
Anterix Inc.,ATEX,United States,Telecommunications,Telecommunications Equipment,-0.9,-2.02,0.58,0.18,0.34,4,0.02,2.49,-0.09,5328000,0.586666667,0.558823529,0.783783784,0.75,0.64,0.16,-2.1,Regular growth
A10 Networks Inc.,ATEN,United States,Telecommunications,Computer Communications Equipment,0.6,0.67,-0.5,1.96,1.96,4,0.02,1.73,0.26,20374000,1,0.838235294,0.285714286,0.441176471,0.428571429,0.428571429,0.2,Outperformer
Actelis Networks Inc.,ASNS,United States,Telecommunications,Telecommunications Equipment,-9.5,-4.73,-1.21,-5.48,-5.48,3,5.08,-0.63,-3.36,-2258000,0.04,0.044117647,0.209459459,0.198529412,0.12,0.933333333,-0.3,Underperformer
Arista Networks Inc.,ANET,United States,Telecommunications,Computer Communications Equipment,4.3,2.97,0.62,0.23,0.31,4,0.01,18.68,0.28,687765000,0.714285714,0.602941176,0.714285714,0.779411765,1,0.285714286,7.5,Regular growth
Amplitech Group Inc.,AMPG,United States,Telecommunications,Telecommunications Equipment,-0.1,-0.32,0.87,-93.55,-0.43,4,0.15,1.64,-0.02,-664389,0.013333333,0.014705882,0.891891892,0.867647059,0.546666667,0.346666667,0.9,Underperformer
AMC Networks Inc. Class A,AMCX,United States,Telecommunications,Cable & Other Pay Television Services,0.2,3.53,-0.97,-0.34,-0.3,4,2.3,5.97,0.01,147614000,0.235294118,0.286764706,0.235294118,0.294117647,0.882352941,0.764705882,0.9,Regular growth
Alpine 4 Holdings Inc. Class A,ALPP,United States,Telecommunications,Telecommunications Equipment,-0.6,-0.67,0.42,-0.36,-0.5,4,0.87,0.06,-0.18,2154870,0.306666667,0.257352941,0.72972973,0.691176471,0.293333333,0.666666667,0.2,Regular growth
Allot Ltd. Ordinary Shares,ALLT,Israel,Telecommunications,Telecommunications Equipment,-0.9,-0.52,-1.07,-0.57,-0.56,4,0.65,1.56,-0.31,-5736000,0.226666667,0.205882353,0.25,0.242647059,0.52,0.593333333,0.1,Regular growth
Zuora Inc. Class A,ZUO,,Technology,Computer Software: Prepackaged Software,-0.9,-0.78,-0.16,-0.09,-0.16,4,3.2,2.75,-0.7,-58732000,0.598445596,0.49276411,0.393782383,0.412445731,0.654255319,0.930851064,-0.5,Regular growth
Zscaler Inc.,ZS,United States,Technology,EDP Services,-1.4,-2.03,0.49,-0.37,-0.44,4,1.51,9.55,-0.28,224718000,0.474093264,0.379884226,0.70984456,0.743125904,0.946236559,0.849462366,-2,Regular growth
Zoom Video Communications Inc. Class A,ZM,United States,Technology,Computer Software: Programming Data Processing,0.3,2.36,-0.92,8.03,1,4,0.01,18.83,0.02,453166000,1,0.975397974,0.333333333,0.205499276,1,0.142857143,6,Outperformer
ZeroFox Holdings Inc.,ZFOX,United States,Technology,EDP Services,,-0.65,-0.69,-0.34,-0.34,4,0.42,-0.09,-1.52,380000,0.481865285,0.392185239,0.269430052,0.251808973,0.198924731,0.561827957,,Regular growth
Zeta Global Holdings Corp. Class A,ZETA,,Technology,EDP Services,-2,-1.86,0.32,-1.26,-0.31,4,1.23,0.5,-2.18,13454000,0.274611399,0.214182344,0.626943005,0.664254703,0.35483871,0.801075269,-1.3,Regular growth
Zedge Inc. Class B ,ZDGE,,Technology,Computer Software: Prepackaged Software,,0.4,0.1,6.45,6.45,4,0.05,1.04,-0.16,126000,0.979274611,0.968162084,0.53626943,0.531837916,0.494680851,0.300531915,,Outperformer
JOYY Inc. American Depositary Shares,YY,China,Technology,EDP Services,1.6,5.8,2.33,0.97,1.66,4,0.1,0.68,0.02,,0.906735751,0.867583213,0.96373057,0.965267728,0.408602151,0.370967742,13.3,Outperformer
Clear Secure Inc. Class A,YOU,United States,Technology,Computer Software: Prepackaged Software,-0.8,-0.48,-0.67,-0.6,-0.67,4,0.28,3.34,-0.13,-8935000,0.339378238,0.308972504,0.238341969,0.26121563,0.734042553,0.566489362,-0.1,Regular growth
Yext Inc.,YEXT,United States,Technology,EDP Services,-0.5,-0.68,0.27,0.21,0.27,4,0.81,0.54,-0.52,-7657000,0.756476684,0.68089725,0.611398964,0.641099855,0.360215054,0.709677419,-0.2,Regular growth
Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share,YALA,United Arab Emirates,Technology,Computer Software: Programming Data Processing,0.5,0.3,-0.02,7.63,-0.02,4,0.01,,0.18,,0.972222222,0.971780029,0.555555556,0.465991317,,0.142857143,,Outperformer
Xerox Holdings Corporation,XRX,United States,Technology,Computer peripheral equipment,-2.1,-1.29,0.16,-1.58,-0.86,4,1.29,2.21,-0.1,112000000,0.375,0.179450072,0.625,0.573082489,0.466666667,0.875,-0.8,Regular growth
Expion360 Inc.,XPON,United States,Technology,Electronic Components,-1.2,-0.7,-0.68,-2.81,-3.35,4,0.6,0.85,-0.65,-672110,0.086956522,0.121562952,0.260869565,0.256150507,0.227272727,0.652173913,-0.5,Underperformer
